oid,delta_mag_fid_1,delta_mjd_fid_1,positive_fraction_1,delta_mag_fid_2,delta_mjd_fid_2,positive_fraction_2,MHPS_ratio_1,MHPS_low_1,MHPS_high_1,MHPS_ratio_2,MHPS_low_2,MHPS_high_2,GP_DRW_sigma_1,GP_DRW_tau_1,GP_DRW_sigma_2,GP_DRW_tau_2,Psi_CS_1,Psi_eta_1,Psi_CS_2,Psi_eta_2,Harmonics_mag_1_1,Harmonics_mag_2_1,Harmonics_mag_3_1,Harmonics_mag_4_1,Harmonics_mag_5_1,Harmonics_mag_6_1,Harmonics_mag_7_1,Harmonics_phase_2_1,Harmonics_phase_3_1,Harmonics_phase_4_1,Harmonics_phase_5_1,Harmonics_phase_6_1,Harmonics_phase_7_1,Harmonics_mse_1,Harmonics_mag_1_2,Harmonics_mag_2_2,Harmonics_mag_3_2,Harmonics_mag_4_2,Harmonics_mag_5_2,Harmonics_mag_6_2,Harmonics_mag_7_2,Harmonics_phase_2_2,Harmonics_phase_3_2,Harmonics_phase_4_2,Harmonics_phase_5_2,Harmonics_phase_6_2,Harmonics_phase_7_2,Harmonics_mse_2,Power_rate_1/4,Power_rate_1/3,Power_rate_1/2,Power_rate_2,Power_rate_3,Power_rate_4,Amplitude_1,AndersonDarling_1,Autocor_length_1,Beyond1Std_1,Con_1,Gskew_1,Meanvariance_1,MedianAbsDev_1,MedianBRP_1,PairSlopeTrend_1,PercentAmplitude_1,Q31_1,Rcs_1,Skew_1,SmallKurtosis_1,Std_1,StetsonK_1,Pvar_1,ExcessVar_1,SF_ML_amplitude_1,SF_ML_gamma_1,IAR_phi_1,LinearTrend_1,Amplitude_2,AndersonDarling_2,Autocor_length_2,Beyond1Std_2,Con_2,Gskew_2,Meanvariance_2,MedianAbsDev_2,MedianBRP_2,PairSlopeTrend_2,PercentAmplitude_2,Q31_2,Rcs_2,Skew_2,SmallKurtosis_2,Std_2,StetsonK_2,Pvar_2,ExcessVar_2,SF_ML_amplitude_2,SF_ML_gamma_2,IAR_phi_2,LinearTrend_2
ZTF18abetehf,2.507287999999999,37.944965300150216,1.0,1.7284649999999964,50.97358799959329,1.0,6.45099401473999,1.5478541851043701,0.23994041979312897,299.10296630859375,6.398538589477539,0.021392427384853363,0.9466706571297242,21.68233764805768,0.5888296376113327,97.68007705876389,0.3137773382002037,0.9437762112331842,0.36323206856399537,0.8964989590945949,17.48541387727319,6.8705183314788005,18.393932018392466,15.881107585039357,22.094937851209025,39.099861091991166,19.11543595039579,1.9157747820681248,1.0844707752540668,3.0039453176971604,2.0092087737630235,3.906706669883711,5.818645836566931,4.086930577769018e-27,4.397574006082224,2.312080337916681,4.1872092171907145,3.162033962284281,3.264196395337758,2.401275595248376,3.136247402719832,4.089779183052761,5.60448471592094,0.9830271927918766,1.4988964822456587,5.040788865810958,3.152474334274114,9.466330862652142e-29,0.014614444226026535,0.06621285527944565,0.1354774385690689,0.012439882382750511,0.05489487573504448,0.01146277878433466,1.2536439999999995,0.998644725891657,3.0,0.3,0.0,1.507088000000003,0.04081525400251289,0.4962874999999993,0.4,-0.23333333333333334,0.10759683665982081,1.0679500000000033,0.4242243386303957,0.886342146724595,0.3343539531394004,0.7749818434779551,0.8077488048023265,1.0,0.0016095003755292226,6.683307802044507,0.5690213305811942,0.9332909231267842,0.031621435290110536,0.8642324999999982,0.9946333334388818,4.0,0.2222222222222222,0.0,0.6373589999999965,0.03163568577408724,0.47571299999999894,0.2222222222222222,-0.1,0.06286464071221413,0.9578550000000021,0.42692676336134017,0.5817231784242145,-0.7252958100523501,0.5991201920221567,0.8762561960208035,1.0,0.0009397452674811396,12.812442066370131,1.0034696551292244,0.9843251203284072,0.03786084282402542
ZTF18abetewu,1.358463999999998,30.951203700147744,1.0,0.809549999999998,31.984363500021573,1.0,7.27437162399292,0.6515281796455383,0.08956487476825714,9.789130210876465,0.5656993389129639,0.05778852105140686,0.2799500639404303,6.266587699198237,0.07628647161287279,17.308103083964294,0.45396667146214076,0.6666570342641212,0.44086585613347934,0.3065742038973574,3.1647392621929424,3.7663930993760535,3.660320653140635,4.592660608769115,0.6575014968662973,2.60209945822092,3.7958461297789627,1.3087284278691422,1.565676475940939,5.0135155208412225,2.183266405129787,4.911388661564059,2.7304751414389408,2.3620749390617726e-28,3.9953273937426217,2.338315718038419,1.4861009574466855,3.1784138845501158,3.3162218484650614,2.0191039119013197,2.7773953503614393,2.802375464541585,1.9467055120051109,4.650595942982972,1.9146886203460678,2.362916951813256,0.19684431564145832,1.9283266572069178e-28,0.004997564945369959,0.03964666649699211,0.02117617055773735,0.5229650735855103,0.4484018087387085,0.42630717158317566,0.679231999999999,0.9907618651034812,2.0,0.42857142857142855,0.0,-0.3118440000000007,0.027636267539566294,0.5110679999999981,0.2857142857142857,-0.23333333333333334,0.0430231662013809,1.1289060000000006,0.45396667146214076,-0.029589215792737402,-1.3235209323513861,0.5322320950894118,0.9224984496163314,1.0,0.0006944246084688995,0.9485498966908869,0.10394580344790039,0.8629513962177897,0.010175111626628352,0.404774999999999,0.8272841158225687,4.0,0.4444444444444444,0.0,-0.0291040000000109,0.014234403683977086,0.23522999999999783,0.1111111111111111,-0.3,0.0221100941134414,0.45035199999999875,0.44086585613347934,-0.04762637173666129,-1.081331314849062,0.2696706180513046,0.8517271049878992,1.0,0.00015952522024261398,1.2015010444195393,0.33080107525970126,0.9338159341603549,0.02259974207022884
ZTF18abeyqpr,1.1082670000000014,31.039502300322056,1.0,1.5927380000000007,56.76398149970191,1.0,9.144532203674316,0.29592639207839966,0.032361019402742386,205.65069580078125,5.871100902557373,0.028548898175358772,0.12196213108559023,9.262355999448138,0.23771031149916125,33.99294951413074,0.44464084741409116,0.20952175112348198,0.4353856220198683,0.16480679371594087,8.053442058829292,1.6000847705902206,2.769121540922412,1.428828013857045,1.2203078622239776,1.7242683159239032,0.6614776293090392,3.132693566018614,3.134371755776699,0.001723050583896768,0.016713418402951596,3.0966524790889736,6.021896127783991,7.860560664468927e-28,0.6154336543094155,0.05361037435834514,0.11197901952594448,0.17187439141862437,0.12755924524658455,0.10632887238527214,0.05095783676965873,3.4536181559904406,0.338708058436044,1.7687842531710416,2.875827875885962,4.142682451947852,3.772254525704863,4.716336398681356e-27,0.0033653262071311474,0.030765043571591377,0.03529447317123413,0.43972352147102356,0.3591374158859253,0.3443104922771454,0.5541335000000007,0.992086436540807,3.0,0.2222222222222222,0.0,-0.01801900000000245,0.019752763390518617,0.45354300000000336,0.2222222222222222,-0.36666666666666664,0.028162534676630355,0.6434310000000032,0.4446408474140912,0.2581311756067466,-1.164363346097124,0.39367200593240065,0.9221729383314271,0.9999999999987471,0.0002882039512153145,2.690785863582125,0.47038679607636946,0.9210423238011166,0.01609696186875948,0.7963690000000003,0.8953121261266223,6.0,0.3333333333333333,0.0,0.01168200000000752,0.025884020714615714,0.4387079999999983,0.13333333333333333,-0.3,0.040922838811834436,0.8305782499999985,0.43538562201987147,-0.026855392391766476,-1.061616072420425,0.5068452372522755,0.8776706370747517,1.0,0.0005850714436262906,3.967890858608986,0.6640847106832124,0.9733040776540202,0.022514186503676335
ZTF18abfdupq,0.272234000000001,6.004907399896183,1.0,0.3397409999999965,14.887800899792637,1.0,,,,-0.156744122505188,-0.00675566028803587,0.04309992864727974,0.004001939805334883,0.4753587867049945,0.01093241233443933,3.0398230970917837,,,0.46478974600098866,1.0756537450421475,1.6767079252039094,3.5500131744992376,4.189252166778425,0.5856080840207677,4.6030348743724705,2.6738134717415925,2.71062457253854,3.1867503844057143,3.195765391260181,0.13618076712208538,0.09850261553313455,0.10536526278431335,3.287501461046686,1.5777218104420236e-28,4.325539365620991,1.5476042064118027,1.9991260066442538,3.85010953241811,2.688062308606699,1.2629254412627493,4.896165071550613,4.917052415181709,5.4401817706194695,2.970040130013146,1.3281647466659123,2.922295196999201,3.9038206381216067,1.8617117363215879e-28,0.003055237466469407,0.001964330906048417,0.0004233278159517795,0.24004217982292175,0.004216534085571766,0.008629062213003635,,,,,,,,,,,,,,,,,,,,,,,,0.16987049999999826,0.8031292240945432,1.0,0.375,0.0,-0.04395199999999733,0.006911285533742933,0.12554900000000124,0.0,0.03333333333333333,0.010162913387751616,0.2550465000000024,0.4647897460009818,-0.12395456573487504,-1.216438987699331,0.1302938597958473,0.921988897266443,0.9662420353944343,1.2551892056587082e-05,0.019025752418771413,-0.5,0.605348774416459,0.010786051400007986
ZTF18abffyqp,2.9041829999999997,65.98136579990387,1.0,1.956120000000002,78.89172449987382,1.0,71.62734985351562,11.56214714050293,0.16142083704471588,197.19635009765625,7.846887111663818,0.0397922545671463,1.5810916108970812,116.31690883630662,0.42728066923471725,89.0799425597907,0.2818723507701649,0.5495463743823265,0.2616929937939793,0.3346955330048986,259221.26367114068,193040.08854470163,116190.79593256461,54907.047462499846,19311.407525633098,4543.620574670045,542.5859427279083,3.1417457991723086,0.00036654979930350606,3.141540533660134,6.2804511866112005,3.130654931989916,6.2528081707113365,0.011193229256112415,39553.89224351458,29599.785012177083,17967.350620666268,8586.2473414413,3053.1826113794077,722.2247755932614,85.33460295210888,3.1445463679463064,0.012837977201733075,3.1763831056885046,0.07487197186014782,3.281896549400189,0.24148466711951855,0.010314416060840966,0.03803786635398865,0.07512398809194565,0.2288057804107666,0.07715830206871033,0.29381081461906433,0.06555864214897156,1.4520914999999999,0.9998410541061167,8.0,0.3333333333333333,0.0,0.06151400000000251,0.04422466130613335,0.5937849999999969,0.1111111111111111,-0.23333333333333334,0.0758104384870281,1.7129499999999993,0.4422516754117326,0.1562792402556839,-1.0851607036758768,0.8711870770998202,0.7934701490962615,1.0,0.001837904762931553,8.845382900888366,0.7424486193246792,0.9819229931016635,0.04304964183264716,0.978060000000001,0.9954425248508296,9.0,0.3157894736842105,0.0,0.32318599999999265,0.0314806371675992,0.6241210000000024,0.15789473684210525,-0.23333333333333334,0.05970787567151859,1.1747392500000018,0.4330109087544511,0.20921353826721378,-1.1159571020584576,0.6016907967048563,0.8971435407129471,1.0,0.0009300083767437076,5.408773477981695,0.7681925678620317,0.986662642415156,0.023269551060644624
ZTF18abfgygp,2.9909399999999984,59.003055499866605,1.0,2.0489619999999995,64.83333340007812,1.0,91.10076904296875,11.211989402770996,0.12307238578796387,94.29629516601562,8.330411911010742,0.08834294229745865,1.5006331458490105,80.2997601476531,0.47710448307617165,45.88338460989747,0.43698422725017977,0.05714556287123759,0.43215541882251035,0.06605835964277348,1.1313295615781283,0.5636531977919582,0.1673395083502036,0.3557333300150455,0.3386237436857473,0.1986118477072087,0.048004163340974716,2.204668960455873,3.702581771828184,5.470848039897632,5.869367266589867,6.188062122493308,5.846669349013041,0.0004398194483728743,1.0726242571100073,0.5480620582085168,0.2850029429365963,0.2090565364112649,0.1377931867367131,0.05606969707885493,0.015843332506584575,1.2714633766361256,2.5659121115802908,3.051309090674742,3.8969003722578837,4.829323373128197,0.22828021604787097,0.002120011998900556,0.011109442450106144,0.021070433780550957,0.043915245682001114,0.4256594479084015,0.3646767735481262,0.34629079699516296,1.4954699999999992,0.9999999931781582,10.0,0.3333333333333333,0.0,1.631181000000005,0.050462905896816346,0.6032979999999988,0.125,-0.23333333333333334,0.123578592630679,1.5883772500000006,0.43698422725017977,0.6473593382988236,-0.7598444736693342,0.9625710337919863,0.8668683626643864,1.0,0.0024777824610438494,9.36352395832773,0.7003908856484622,0.9794670738958648,0.046296378052916455,1.0244809999999998,0.9979288285938591,9.0,0.3448275862068966,0.0,-0.22330399999999173,0.03201198067036971,0.4859030000000004,0.1724137931034483,-0.3,0.05883105605435837,0.9457069999999987,0.43215541882251035,-0.2079135321703925,-1.073257143991261,0.6160350711301472,0.8742451929938655,1.0,0.0009677294195289165,3.573654882639956,0.5327804424090768,0.9718055331259301,0.01936823866739264
ZTF18abfhaji,2.392135999999997,41.0185994999556,1.0,1.9013769999999965,53.917754699941725,1.0,38.348777770996094,1.4972654581069946,0.0390433669090271,53.68638229370117,3.527920961380005,0.06571351736783981,0.9035654429635732,46.359638218416926,0.350500293996554,44.04387525567003,0.4357029468542325,0.17196146302325874,0.3923322383395655,0.13861504526478322,3792.967691502195,2959.0482494125345,1924.184923552045,1012.59478753779,407.6655306819602,112.20446337019982,15.868622924028253,3.1416858805846135,0.0014624439805555056,3.146422382083954,0.0098392068046671,3.154780493696469,0.009355900266259098,0.0004148298364134585,6.925732253904454,5.792947135672363,4.558085022924762,3.594232765579031,2.48710644431379,1.383205004311747,0.4072874498962546,0.17028213765817135,0.28219080321051493,0.37318579493062387,0.47861646512026645,0.5695384391215264,0.6188615455204882,0.0006736056379389883,0.020683525130152702,0.021636229008436203,0.15828147530555725,0.6761027574539185,0.6206239461898804,0.601212739944458,1.1960679999999986,0.9999999963341408,4.0,0.3333333333333333,0.0,1.6216269999999966,0.03726041781330023,0.35070700000000166,0.3888888888888889,-0.43333333333333335,0.1050958883793767,1.3886199999999995,0.43570294685422917,0.8481513830528198,-0.2893328574610998,0.7233000068504883,0.8338772422433273,1.0,0.0013012005035919897,2.2512874632055526,0.32732203674532423,0.9576204847379438,0.011999483348913268,0.9506884999999983,0.9351216553685748,7.0,0.2631578947368421,0.0,0.3924990000000008,0.025894239885100485,0.3575860000000013,0.3157894736842105,-0.23333333333333334,0.058570849178191685,0.7109720000000017,0.39233223833957204,0.5527458708135513,-0.09132111284953481,0.50717069888161,0.8825096879793866,1.0,0.0006002185905985765,4.712462818846534,0.6881015416159093,0.9703394772429195,0.022729119577409234
ZTF18abfhryc,2.979837,72.90599530003965,1.0,2.513577999999999,75.80870370006596,1.0,171.4633026123047,26.462373733520508,0.15433257818222046,245.5997314453125,16.175046920776367,0.06585938483476639,1.164367973956136,69.9433015406978,0.9148647239658529,199.432702611794,0.4593483826403794,0.07468976315478264,0.43282832601273863,0.022903593167709794,17.43920291889804,14.428032578567075,10.544801810387492,6.805821184728606,3.669398592559862,1.5722930267165174,0.4237597253951928,0.15040209849360675,0.20662469873940292,0.23115276880886615,0.22384808673156442,0.19257455336624574,0.04274844707947345,0.00015361932999721013,0.895633683794789,0.1895800698344433,0.385266972006367,0.38230509295270343,0.23364958534627794,0.15043852947469077,0.037470143737155875,6.277132147545604,0.6400806087561972,2.429933562946682,3.749985095391532,5.196914223996625,0.27186880088245946,0.0007837766517737451,0.005448448471724987,0.03696368634700775,0.031025923788547516,0.6117364168167114,0.5147106051445007,0.4881828725337982,1.4899185,0.9999999520772386,7.0,0.375,0.0,-0.10594300000000345,0.06470649318175427,1.2375419999999995,0.125,-0.3,0.0848368572098297,2.4497362499999973,0.4593483826403794,0.0418906604864695,-1.6846544128362544,1.1720087935336827,0.9338402157348966,1.0,0.004154846723688221,10.361240530429146,0.7690231414641653,0.9881531125802349,0.043461714425528014,1.2567889999999995,0.9901814970571804,11.0,0.3333333333333333,0.0,0.19374499999999273,0.044393179224568285,0.6832170000000009,0.25,-0.23333333333333334,0.07551976265913209,1.331522500000002,0.43282832601273863,0.059400237347788806,-1.1509964113839866,0.7982280566625795,0.8813440585919816,1.0,0.0019518078424407305,12.78895633604421,0.994998511393436,0.9929188386170482,0.03405619507472294
ZTF18abfwuwn,2.2956000000000003,37.952731400262564,1.0,1.5016230000000022,50.943009199581866,1.0,17.854755401611328,0.9097432494163513,0.05095243453979492,86.63253784179688,3.8730196952819824,0.04470629245042801,0.8191764504650324,24.861917813752104,0.2545772158794594,39.77840076811527,0.39684359718923834,0.31418368274909025,0.4139976146822157,0.11737440577449915,5.892622692702868,4.022331983162968,0.6037701825534579,1.7373705579868612,2.248501148882838,1.4616200013706537,0.46353584990219293,3.1026188721958157,0.14060228542266362,6.253541744633473,3.153604426877088,0.04576640152398426,3.299879224464373,2.6463653833814208e-27,2.6072004231672907,2.684386147881869,3.365463881209086,1.9839768021660642,1.1596204717442822,1.3951782663082473,0.6433438027255034,3.2320162091548412,6.112913978857315,2.6848989373163423,0.1656022394614478,3.176576771478885,5.815904047514049,1.6117035109746211e-28,0.009001393802464008,0.012653504498302937,0.08513573557138443,0.5408005714416504,0.46783220767974854,0.45385703444480896,1.1478000000000002,0.9998073169134404,3.0,0.16666666666666666,0.0,1.1406429999999972,0.03615956993127036,0.472092500000004,0.25,-0.23333333333333334,0.08893991097371773,0.8484960000000008,0.39684359718923834,0.982375233716542,0.4612356651891534,0.7037679692405885,0.8854553237402129,1.0,0.0012375231890403109,3.4886254320979306,0.3855695514346011,0.9310368435394362,0.004731555552264645,0.7508115000000011,0.9773656073416264,5.0,0.23076923076923078,0.0,0.18024499999999932,0.024255233598600677,0.39947700000000097,0.23076923076923078,-0.3,0.043154962594386476,0.5533040000000007,0.4139976146822157,0.44223533110743385,-0.6787276743377655,0.47232090445919106,0.8882741694175909,1.0,0.000536111750583297,3.2353498965838803,0.5828821602486407,0.9726070233098565,0.02515916288673098
ZTF18abfzhct,2.8721239999999995,56.89258110011724,1.0,1.9586390000000016,59.91817130007985,1.0,230.7809295654297,17.290027618408203,0.07491965591907501,441.1048889160156,11.304975509643555,0.025628769770264626,1.0803132696848763,92.7667318625176,0.4850899605505115,76.2852885216319,0.4512169297414013,0.04068754179040154,0.45059986148822906,0.05335677029482607,1.9561892759048793,1.214575959519171,1.1709187793790048,0.893144210308832,0.6064615007574784,0.3079805371170392,0.10725830379814992,1.6971951133163632,4.010276852134835,0.1659704864222551,2.511507092313021,4.841734232788339,1.1634138520000654,3.7153718861747596e-05,1.123426674141601,0.5671593678295958,0.3773160102007215,0.3235552261363973,0.22860030467724238,0.1830075582316895,0.07611044528151968,1.7870037953177151,2.8877581785081254,4.000747804836621,5.307035484706045,0.26607448846144877,1.074025488775046,1.5223973141627627e-05,0.0006184504018165171,0.006064691115170717,0.010797196999192238,0.1336783617734909,0.10567794740200043,0.0921015590429306,1.4360619999999997,0.9998640531297657,8.0,0.375,0.0,0.5698859999999968,0.052673239250545775,0.914420999999999,0.125,-0.23333333333333334,0.08933095152758846,1.9001814999999986,0.4512169297414013,0.19379995649083867,-1.411467324746473,1.0217104725308375,0.911556447049157,1.0,0.002698345874135846,10.819407684178342,0.7381606326433231,0.9890384127476486,0.05505312669940665,0.9793195000000008,0.9994540241143086,8.0,0.375,0.0,-0.015797999999989543,0.03659428344089478,0.7172145000000025,0.125,-0.23333333333333334,0.0523157873734831,1.338372249999999,0.45059986148822906,-0.048083074849652456,-1.4243406765061972,0.690978422012083,0.9160524661204444,1.0,0.0013001251714601693,10.225645331053126,0.8786019444471999,0.9869169193092722,0.03617677889642214
