delta_mag_fid_1,positive_fraction_1,delta_mag_fid_2,positive_fraction_2,Multiband_period,PPE,Period_band_1,delta_period_1,Period_band_2,delta_period_2,MHPS_ratio_1,MHPS_low_1,MHPS_high_1,MHPS_ratio_2,MHPS_low_2,MHPS_high_2,GP_DRW_sigma_1,GP_DRW_tau_1,GP_DRW_sigma_2,GP_DRW_tau_2,Psi_CS_1,Psi_eta_1,Psi_CS_2,Psi_eta_2,Harmonics_mag_1_1,Harmonics_mag_2_1,Harmonics_mag_3_1,Harmonics_mag_4_1,Harmonics_mag_5_1,Harmonics_mag_6_1,Harmonics_mag_7_1,Harmonics_phase_2_1,Harmonics_phase_3_1,Harmonics_phase_4_1,Harmonics_phase_5_1,Harmonics_phase_6_1,Harmonics_phase_7_1,Harmonics_mse_1,Harmonics_mag_1_2,Harmonics_mag_2_2,Harmonics_mag_3_2,Harmonics_mag_4_2,Harmonics_mag_5_2,Harmonics_mag_6_2,Harmonics_mag_7_2,Harmonics_phase_2_2,Harmonics_phase_3_2,Harmonics_phase_4_2,Harmonics_phase_5_2,Harmonics_phase_6_2,Harmonics_phase_7_2,Harmonics_mse_2,Power_rate_1/4,Power_rate_1/3,Power_rate_1/2,Power_rate_2,Power_rate_3,Power_rate_4,Amplitude_1,AndersonDarling_1,Autocor_length_1,Beyond1Std_1,Con_1,Gskew_1,Meanvariance_1,MedianAbsDev_1,MedianBRP_1,PairSlopeTrend_1,PercentAmplitude_1,Q31_1,Rcs_1,Skew_1,SmallKurtosis_1,Std_1,StetsonK_1,Pvar_1,ExcessVar_1,SF_ML_amplitude_1,SF_ML_gamma_1,IAR_phi_1,LinearTrend_1,Amplitude_2,AndersonDarling_2,Autocor_length_2,Beyond1Std_2,Con_2,Gskew_2,Meanvariance_2,MedianAbsDev_2,MedianBRP_2,PairSlopeTrend_2,PercentAmplitude_2,Q31_2,Rcs_2,Skew_2,SmallKurtosis_2,Std_2,StetsonK_2,Pvar_2,ExcessVar_2,SF_ML_amplitude_2,SF_ML_gamma_2,IAR_phi_2,LinearTrend_2,SPM_A_1,SPM_t0_1,SPM_gamma_1,SPM_beta_1,SPM_tau_rise_1,SPM_tau_fall_1,SPM_chi_1,SPM_A_2,SPM_t0_2,SPM_gamma_2,SPM_beta_2,SPM_tau_rise_2,SPM_tau_fall_2,SPM_chi_2,classALeRCE
,,0.0,1.0,,,,,,,,,,,,,,,3.2079793113159803e-07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6403851359096119,-4.956314133695003,2.131373500290747,0.46511988088233597,1.000000000099971,40.00218257314254,,SNIa
0.4761410000000019,1.0,,,0.26875636399892017,,0.26875636399892017,0.0,,,-0.8147908449172974,-0.022497110068798065,0.0276109017431736,,,,4.366275731617164e-07,0.6459927277203391,,,0.3861548907230685,0.47276325484435655,,,0.9367037760421615,8.379727111640282,2.007202510500614,4.124282076135407,1.2218655576721882,1.0181098564852058,1.5646571201419233,2.8346118226775507,2.6782049151451934,5.68703862849292,5.349383501635416,5.141647879497646,5.407652817381596,1.1044052673094165e-28,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.23807050000000096,0.8229523972871341,2.0,0.5,0.0,-0.05548199999999781,0.008616281644805138,0.11724750000000128,0.5,-0.1,0.013480849438333735,0.15528350000000302,0.38615489072305814,-0.23849774728077516,0.5126885884999739,0.1697738435404589,0.7874095569228424,0.24774700291315802,-4.4144944515689086e-05,-0.5,-0.5,1.5167756662712646e-05,0.006551721161491224,,,,,,,,,,,,,,,,,,,,,,,,0.11877161137797232,6.783047967625931,15.47946656465861,0.6852093918250126,7.9299616858104995,45.14349000665813,1.1832839113876032e-17,,,,,,,,SNIbc
1.3491600000000012,1.0,,,,,,,,,,,,,,,0.44119221067413705,1.0,,,0.25000000000000194,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4540300522518566,-39.261621096054796,23.721483256424715,0.21315070115881343,3.518764213245964,19.4244289869348,,,,,,,,,SNIIn
1.229763000000002,1.0,,,0.4923682581898126,,35.71428461190393,35.221916353714114,,,189559.84375,1.5256092548370361,8.048166819207836e-06,,,,0.26001334910158796,0.6828781275194263,,,0.45505833387739,1.2027760193222983,,,3.063602712571445,4.450664662525079,3.3064021096862684,1.7564287196697117,0.4560753828704548,4.890074420354212,4.127849012688487,1.2523595292672498,0.5884128139521314,4.163695249967599,1.9319123477551532,5.893351592038638,5.5630446429611204,8.204153414298523e-29,,,,,,,,,,,,,,,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.614881500000001,0.9456519182161076,1.0,0.3333333333333333,0.0,-0.5654570000000021,0.02707387979112526,0.3321530000000017,0.3333333333333333,-0.1,0.04632958040041092,0.9223222500000006,0.45505833387739225,-0.49651795021714423,0.05000000000001936,0.5194384108158441,0.9887054646142669,1.0,0.0006098673361654499,9.560531585600383,0.6899396844251555,0.05264575624454733,0.015506100910195717,,,,,,,,,,,,,,,,,,,,,,,,0.2944870137890364,11.874185492330346,16.5932526750389,0.7873729079936411,6.550573543893798,56.20384432141133,,,,,,,,,SNIa
2.2938329999999993,1.0,0.1614690000000003,1.0,55.393584747232566,0.06559026682240199,55.393584747232566,0.0,,,3.1252713203430176,0.7499615550041199,0.23996686935424805,-34409768.0,-0.013956934213638306,4.0560965697267193e-10,0.8946432176502931,38.46042167206606,1.972707232957942e-07,0.01483262534662497,0.392284830517295,0.14311422773556273,0.499999999999989,1.3333333333333333,12.007563985251853,8.800477420852884,7.580503267987802,6.538252459315206,4.669878909144338,2.2995766703410814,0.7045352380782552,0.18525487614610725,0.39005627277230737,0.3967126485994008,0.19609885223086998,6.217378654347677,5.786384350064356,0.0002152958733319932,2.3575404115466445,2.437845340340732,2.566107425932514,2.735588126297561,2.9391641354406937,3.1702721666631875,3.4233385971239487,0.006788926600334477,0.025501227435109186,0.05885658211167488,0.10740246140268006,0.17025305821622005,0.24582044001259717,2.0194839173657902e-28,0.03336296230554581,0.013193805702030659,0.030511431396007538,0.7035216689109802,0.647228479385376,0.6344483494758606,1.1469164999999997,0.9999999979767502,4.0,0.2222222222222222,0.0,1.253684000000007,0.03547554320676123,0.37727799999999867,0.3333333333333333,-0.43333333333333335,0.0951636112833379,0.6869240000000012,0.392284830517295,1.080675378719579,0.3779058982056456,0.6664324784292819,0.850313554031466,1.0,0.0012087411998693285,0.47391680014224735,-0.2065003803690543,0.9431543022280969,0.006579163027930933,,,,,,,,,,,,,,,,,,,,,,,,0.29032356096256057,6.5875582810339,30.142483879816435,0.7898767120628545,3.200502229038422,14.573763723374114,0.13430367204836297,0.40987161306682507,-5.916582946759107,1.8904414103003824,0.43690281567402417,2.027604982509673,40.02489611560161,,SNIa
2.408327,1.0,1.783373000000001,1.0,81.54506144158641,0.055254413847018014,81.54506144158641,0.0,1.0111223228911905,80.53393911869522,46.439422607421875,10.995043754577637,0.23676098883152008,207.88926696777344,8.6582612991333,0.04164842888712883,0.7076447978039887,64.11209814956904,0.438768560895279,19.155728644683123,0.4303076378228365,0.3240289295203784,0.4275982579896903,0.20806300984891626,5.076449650896588,0.6778747550461232,2.430695334800933,2.9357496483870684,1.802199891241708,0.7979980320474589,0.2855078717790401,3.2991430533524913,2.2075209201328456,4.944680341329527,1.1739947627339848,3.3377808552722072,5.533686603516777,4.299817840724662e-27,3.7235531024470117,2.942916747101257,2.3429440123633314,1.53066622239065,0.8982731071882006,0.4929030931992588,0.14610578974106206,2.6547614751377737,5.4948935951203515,2.1322878486985344,5.000668704416535,1.6374057664249142,5.018281190961167,2.8787354879757537e-28,0.010715551674365997,0.011967689730226994,0.026816653087735176,0.27146652340888977,0.2243613749742508,0.21113261580467224,1.2041635,0.993408396944454,5.0,0.4166666666666667,0.0,-1.0522090000000048,0.04170444035555457,0.4850324999999973,0.25,-0.1,0.09718836057003784,1.2106717499999995,0.43030763782283676,-0.6153330550102674,-0.46180473199217165,0.7328321809896698,0.8856831133911219,1.0,0.0017269057838097557,6.323031790716386,0.6678406211417484,0.9806043051445043,0.03586663874443256,0.8916865000000005,0.9959100249285224,4.0,0.46153846153846156,0.0,-0.21615500000000054,0.03543617038311653,0.5423220000000022,0.23076923076923078,-0.16666666666666666,0.05878582151116395,0.9199620000000017,0.42759825798969026,-0.35084973741537345,-1.064534343575163,0.6026644298472411,0.8807125677648885,1.0,0.0012483152512177363,2.0233232084307287,0.39021051653561734,0.9402240895112911,0.0112302071972431,3.222093827249448,4.076732133784043,29.337135215562345,0.8497161695102993,2.608639949464539,22.475434344840792,0.6864800349565198,2.35191527585654,13.064873250571726,33.60175538671792,0.7333635688626909,7.567847808559684,24.144588468070104,5.191488701300046,SNIa
1.6306000000000012,1.0,1.6857970000000009,1.0,70.63196895340353,0.05234773023610473,52.631575480062445,18.000393473341084,70.63196895340353,0.0,7.0540452003479,1.4002255201339722,0.1984996497631073,117.83661651611328,4.553470134735107,0.03864223510026932,0.30627214919283946,18.630268403592098,0.385297221687277,29.28726863502984,0.46046467529052026,0.10770090740482598,0.42797131673260824,0.2339131288122232,186451.87483595446,283950.20528815006,271077.50744466996,186226.8036015098,92535.8305750188,31158.512107027433,5574.777428727732,4.458284927224273,2.6882689886826014,0.931895884515689,5.464907509622764,3.714907245423664,1.975065573479469,3.318758658413371e-16,0.422797101774807,0.48345182358659594,0.8824783987101303,0.6870964982646052,0.590284189898762,0.3589696510410712,0.42297431953785336,0.9874731641340508,3.2138535830876203,5.612015423140074,1.4799302999762451,3.9915796287121967,6.107332621693917,0.0006973440323987962,0.014805121347308159,0.02484893426299095,0.11149071902036667,0.650449812412262,0.5950550436973572,0.5760430097579956,0.8153000000000006,0.9992393267546661,5.0,0.35714285714285715,0.0,0.17118400000000378,0.02759908738235291,0.43876900000000063,0.0,-0.36666666666666664,0.04763446691223138,0.8775380000000013,0.46046467529052026,0.15829174747422717,-1.3056329430165516,0.5235311633639681,0.9037817407046066,1.0,0.0007048730975918844,1.0537487609225704,0.1320876029152373,0.9441375933067279,0.023422988240649954,0.8428985000000004,0.9998132521713955,6.0,0.2777777777777778,0.0,0.4726479999999995,0.028673725535202563,0.4257370000000016,0.16666666666666666,-0.36666666666666664,0.05664294915086553,0.9357830000000007,0.42797131673260924,0.5062245860813427,-0.9340332045047526,0.5487932541789498,0.889992255461663,1.0,0.0007582165973750624,2.7303111949866237,0.42908617633288526,0.9513618613109589,0.018062409974237525,0.24398873956449987,4.039660678299462,8.158129861675322,0.08775141080215207,3.8825775854860742,14.437207003289995,0.13482275373906275,0.204334880108899,6.718844431262616,22.289199184747623,0.5090228276755476,3.733500902473679,28.908232460758178,0.09673405093913473,SNIa
0.5951479999999982,1.0,,,20.856201499614553,0.2372120623743028,20.856201499614553,0.0,,,-0.017761897295713425,-0.002033569850027561,0.1144905760884285,,,,0.05582916869259401,7.191685982819842,,,0.4067793816326737,1.2488153007577503,,,5.873608794037884,1.0524849680178565,0.19437947043350426,2.6061645902465194,4.20401680105522,0.8052487231817012,4.7190874514395915,0.055427447645524264,3.1002361951485913,6.18862778379645,6.191762727851842,6.264682397602954,3.005606400135431,1.0349855076499674e-28,,,,,,,,,,,,,,,8.819565664452966e-06,4.1509219954605214e-06,0.00011062865814892575,0.008669989183545113,0.006531935650855303,0.005938646383583546,0.2975739999999991,0.5943412071272283,2.0,0.2,0.0,0.092413999999998,0.01093329055191383,0.10019400000000189,0.2,-0.03333333333333333,0.018859320019753455,0.1973140000000022,0.4067793816326737,0.3374766423303114,0.25910430065245027,0.19950853869305915,0.8215482568335712,0.9999999999997865,9.91601728144703e-05,15.0,0.9261693691118823,0.8501491218810051,0.07407955148297637,,,,,,,,,,,,,,,,,,,,,,,,0.45502612663340275,-12.465286566430773,13.581860839409286,0.3877982114703543,9.71548974803647,10.97670169538595,0.014089201670569798,,,,,,,,SNIbc
0.2896719999999995,1.0,,,0.13673885111437672,0.04267901043630917,0.13673885111437672,0.0,,,0.03224590793251991,0.0011694945860654116,0.036267999559640884,,,,0.012202570521148783,2.956150151144926,,,0.40438996063632715,0.921315986824474,,,4.674177886765942,1.1536361006186706,3.3608674301465813,1.69291200788366,3.1145279182257393,2.576698807617011,2.321131966959028,5.345268066375336,0.3885471446032547,2.153111315363425,3.351587358857648,0.45016268720927677,6.128372602490397,8.589818745739907e-28,,,,,,,,,,,,,,,0.0030351360328495502,0.0030351360328495502,0.001103022019378841,0.0010188422165811062,0.09700601547956467,0.00046551605919376016,0.14483599999999974,0.9996399225079482,2.0,0.3333333333333333,0.0,0.1428720000000041,0.006377021987384596,0.06410999999999945,0.1111111111111111,-0.3,0.013410098050863033,0.18285000000000196,0.4365132328718905,0.5886419367321074,-0.884540325223476,0.10304901632263032,0.8842462635383429,1.0,3.621976994148693e-05,0.0,0.0,0.702404043709154,0.008902661254037937,,,,,,,,,,,,,,,,,,,,,,,,1.7410976837516052,-8.712951122326329,16.561699383711122,0.0006475199913930709,13.787213339977495,17.840997022518994,1.012416285497933,,,,,,,,SNIa
1.5952999999999982,1.0,1.2133830000000003,1.0,1.0007373162487836,0.027420267549367106,0.3331813445951163,0.6675559716536673,260.2739639759911,259.2732266597423,45.999427795410156,0.6915085911750793,0.01503298245370388,4.260512828826904,0.11012482643127441,0.0258477870374918,0.29408036544236416,210.411243595591,0.17714456899954317,254.97694870348224,0.31456704222434173,0.6283693711400121,0.24071252221230593,0.49451574107708274,8979.842599969328,7019.796844840273,4601.04726769156,2481.829913909992,1046.6576660127948,325.6705255351686,59.33478004215283,0.002622547064061287,0.004591657508712821,0.013675250040863673,0.029619698467163502,0.049238856434858036,0.17106156938165284,0.04827947879427863,1120.666719643379,873.6550948032134,568.7917733951118,302.52355966364195,125.78233462960304,37.472546591496716,6.239845600417114,0.0013030287406623486,0.004502976659106039,0.011063517749141383,0.020687824354542528,0.041672115914099805,0.05357009010221958,0.011493991828067379,0.14088979363441467,0.10353469103574753,0.49419477581977844,0.02523331344127655,0.027385016903281212,0.021110188215970993,0.7976499999999991,0.9995404707094118,5.0,0.2608695652173913,0.0,0.09026999999999674,0.02170502640885961,0.2772849999999991,0.391304347826087,-0.5666666666666667,0.04246749186147023,0.7345850000000027,0.36894603272946475,0.18264748216565996,-0.3912797454504826,0.4287177797722622,0.8986155778842944,1.0,0.00038024052933776937,1.092192182938781,0.7122401180689235,0.9930306384503109,-0.003312179947081392,0.6066915000000002,0.9999995268518187,4.0,0.391304347826087,0.0,-0.09830500000000342,0.01621329487528394,0.18154400000000237,0.391304347826087,-0.5666666666666667,0.0331912517819238,0.3451740000000001,0.35636159763731423,-0.46254229003968567,-0.27145475790369344,0.31901755315015085,0.8384118327219009,1.0,0.0001713087185029905,0.6523998365370945,0.22973220429012123,0.9934155196981712,-0.0027586898753875636,0.10609061643822709,49.98479295579295,99.9999999999532,0.0018724346383961477,73.94212511987583,99.99945371306363,5.136912577006586,0.0994724162061508,49.079888720133354,99.99999999912869,0.0265840122704242,99.34081945140584,99.95904083069826,3.5786853043597007,SLSN
